,player_id,full_name,status,team,position
404,404,Jon Kitna,Inactive,,QB
7392,7392,Javelin Guidry,Active,,CB
4847,4847,Mikey Bart,Active,,DE
2758,2758,Brennen Beyer,Inactive,,ILB
11376,11376,Richard Gouraige,Active,BUF,OL
7381,7381,Niko Lalos,Active,,DE
1872,1872,Timmy Jernigan,Active,,DT
7199,7199,Josh Nurse,Inactive,,DB
698,698,Charlie Whitehurst,Inactive,,QB
6221,6221,Justin Skule,Active,TB,OT
8698,8698,Jake Tonges,Active,SF,TE
3453,3453,Josh Ferguson,Active,,RB
4385,4385,Kalif Phillips,Active,,RB
1623,1623,Marcus Cromartie,Injured Reserve,,FS
7013,7013,Steven Montez,Active,,QB
8084,8084,Mark Gilbert,Inactive,,CB
11849,11849,Karsen Barnhart,Active,LAC,OL
2745,2745,Brad Bars,Inactive,,DE
2193,2193,Darrin Reaves,Inactive,,RB
7862,7862,T.J. Vasher,Active,,WR
10233,10233,Max Duggan,Active,,QB
8079,8079,Craig Stevens,Inactive,,TE
1517,1517,Theo Riddick,Injured Reserve,,RB
5354,5354,Canon Rooker,Inactive,,K
1396,1396,Josh Aubrey,Inactive,,SS
6279,6279,Brandon Dillon,Inactive,,TE
6501,6501,C.J. Conrad,Active,,TE
5704,5704,David Tepper,Inactive,,
11217,11217,Michael Ayers,Active,,LB
85,85,Justin Tuck,Inactive,,DE
11709,11709,Matt Goncalves,Active,IND,OL
11161,11161,Kendall Smith,Active,,DB
8796,8796,Silas Kelly,Active,,LB
8620,8620,Segun Olubi,Active,IND,LB
2311,2311,Leonard Williams,Active,SEA,DE
6351,6351,Corrion Ballard,Active,,S
3587,3587,Stefan McClure,Inactive,,SS
11865,11865,Jalyn Phillips,Active,,DB
3777,3777,Dillon Gordon,Active,,OT
5728,5728,Kendall Calhoun,Active,,OT
1007,1007,Kevin Brock,Inactive,,TE
4932,4932,Nick James,Active,,DT
6476,6476,D'Angelo Ross,Active,HOU,DB
3005,3005,Lavon Hooks,Active,,DT
3511,3511,Aziz Shittu,Inactive,,DT
5776,5776,Mark Chapman,Active,,WR
6818,6818,Nnamdi Madubuike,Active,BAL,DT
2948,2948,Brandon Cottom,Active,,RB
5635,5635,Rashard Fant,Active,,CB
6381,6381,Alexander Hollins,Active,,WR
6016,6016,Dax Raymond,Active,PIT,TE
5538,5538,Fred Lauina,Active,,G
11744,11744,Dadrion Taylor-Demerson,Active,ARI,DB
3738,3738,Jake Bernstein,Inactive,,G
1163,1163,Markus Kuhn,Inactive,,DT
4662,4662,Dillon DeBoer,Inactive,,C
11157,11157,Brycen Tremayne,Active,WAS,WR
3471,3471,Aaron Green,Inactive,,RB
977,977,Demarcus Dobbs,Inactive,,DE
2297,2297,Glenn Winston,Inactive,,RB
6981,6981,Tipa Galeai,Inactive,,LB
881,881,Ricky Stanzi,Inactive,,QB
4542,4542,B.T. Sanders,Active,,SS
5841,5841,Ed Oliver,Active,BUF,DT
8366,8366,Isaiah Graham-Mobley,Active,,LB
6908,6908,La'Mical Perine,Active,,RB
7710,7710,Janarius Robinson,Active,LV,DE
1370,1370,William Campbell,Inactive,,G
3482,3482,Elijah Shumate,Inactive,,SS
4569,4569,Brian Brown,Active,,WR
8823,8823,Alex Mollette,Active,,OL
12120,12120,Zuri Henry,Active,,OL
8277,8277,Christopher Allen,Active,,LB
3945,3945,Darius White,Inactive,,WR
12060,12060,Aaron Casey,Active,,LB
5525,5525,Justin Evans,Active,,OT
4673,4673,Algernon Brown,Active,,FB
5007,5007,Keke Coutee,Active,,WR
8116,8116,Pierre Strong,Active,CLE,RB
2518,2518,Hayes Pullard,Inactive,,LB
6823,6823,Jacob Eason,Active,,QB
3648,3648,Matt Weiser,Active,,TE
7675,7675,Wyatt Davis,Active,,G
1469,1469,John Wetzel,Inactive,,OG
7619,7619,Mathew Sexton,Active,,WR
7555,7555,Jamie Newman,Inactive,,QB
7195,7195,John Daka,Active,,DE
4333,4333,Jhaustin Thomas,Active,,DT
3251,3251,Jordan Jenkins,Inactive,,DE
4855,4855,Simeon Rice,Inactive,,DE
547,547,Shelley Smith,Inactive,,G
6114,6114,Zack Bailey,Active,NYJ,G
525,525,Morgan Cox,Active,TEN,LS
7585,7585,Davis Mills,Active,HOU,QB
3284,3284,Deon Bush,Active,KC,DB
12399,12399,Caleb Chapman,Active,,WR
2603,2603,Shane Wynn,Inactive,,WR
12221,12221,Andre Carter,Active,,DL
1632,1632,Deveron Carr,Inactive,,CB
3984,3984,Taylor Symmank,Active,,P
1084,1084,Trevin Wade,Inactive,,CB
708,708,Frank Zombo,Inactive,,LB
8025,8025,Adam Prentice,Active,NO,FB
11406,11406,Corey Mayfield,Active,,CB
7787,7787,Damar Hamlin,Active,BUF,DB
8931,8931,Josh Ali,Active,,WR
5376,5376,Jack Cichy,Active,,LB
11434,11434,Seth Benson,Active,,LB
2052,2052,Tevin Reese,Inactive,,WR
7700,7700,Joshua Kaindoh,Active,,DE
8633,8633,Stephon Robinson,Active,,WR
5436,5436,Emmanuel Moseley,Active,DET,CB
2359,2359,Ameer Abdullah,Active,LV,RB
6225,6225,Kahzin Daniels,Active,,OLB
1743,1743,Brittan Golden,Injured Reserve,,WR
1630,1630,Darius Eubanks,Inactive,,LB
3489,3489,Keith Lumpkin,Inactive,,OT
103,103,Matt Forte,Inactive,,RB
